"Foretagsnamn","Organisationsnummer","Telefon","Adress"
"Codesign Sweden AB","556561-3980","08-503 020 30","Hantverkargatan 12, 112 21 Stockholm"
"Farmore Creative Interior Solutions Aktiebolag","559017-2697","","Krokslätts Fabriker 30, 431 37 Mölndal"
"Feel Design AB","556817-1309","","Karstorpsvägen 2, 289 92 Broby"
"Lindberg Stenberg Arkitekter Aktiebolag","556250-6609","08-406 87 00","Pustegränd 3, 118 20 Stockholm"
"Ett Vackert Hem 2.0 AB","559276-4814","","Järnvägsgatan 32, 131 54 Nacka"
"Interior Design Collection Luleå AB","556560-9681","0920-22 01 01","Kungsgatan 8 b, 972 34 Luleå"
"Rumrum Aktiebolag","556544-2174","040-30 31 00","Gustav Adolfs Torg 10 a, 211 39 Malmö"
"Husdesign Gruppen Sverige AB","559123-7994","","Olbergavägen 15, 734 92 Hallstahammar"
"Murman Arkitekter AB","556292-6724","08-462 14 50","Tjärhovsgatan 4, 116 21 Stockholm"
"Stockholms Interiörgolv AB","556387-1747","08-568 798 83","Åmmebergsgatan 36, 124 70 Bandhagen"
"EB Studio AB","556849-2325","076-791 09 56","c/o Johan Ernstsson / Johan Borg, Adelgatan 2, 211 22 Malmö"
"Klara Arkitektbyrå i Karlstad Aktiebolag","556486-4329","","Södra Kyrkogatan 6 4tr, 652 24 Karlstad"
"E&N Tapetserare & Inredning AB","556647-0950","08-29 73 03","Järnvägsgatan 58, 172 35 Sundbyberg"
"Andreas Martin-Löf Arkitekter AB","556755-7714","08-644 77 02","Kungsholmstorg 1, 112 21 Stockholm"
"Arya Invest AB","556763-0107","","Biblioteksgatan 11, 111 46 Stockholm"
